name,manufacturer,msrp,nvme_slot_count,ethernet,photo,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX B550-F GAMING,Asus ,158.99,,,,AM4,ATX,128,4,Black
ASRock B550 Phantom Gaming 4/ac,ASRock ,89.99,,,,AM4,ATX,128,4,Silver / Black
MSI PRO B760M-A WIFI DDR4,MSI ,149.99,,,,LGA1700,Micro ATX,128,4,Black
Asus TUF GAMING B760M-PLUS WIFI II,Asus ,194.99,,,,LGA1700,Micro ATX,192,4,Black / Orange
NZXT N7 Z790,NZXT ,,,,,LGA1700,ATX,192,4,White / Black
Gigabyte B760I AORUS PRO,Gigabyte ,199.99,,,,LGA1700,Mini ITX,96,2,Silver / Black
ASRock B650M PG RIPTIDE WIFI,ASRock ,169.99,,,,AM5,Micro ATX,192,4,Black
Asus TUF GAMING B650M-PLUS WIFI,Asus ,189.99,,,,AM5,Micro ATX,192,4,Black
Asus ROG STRIX X670E-F GAMING WIFI,Asus ,349.99,,,,AM5,ATX,192,4,Black / Silver
Asus ProArt Z790-CREATOR WIFI,Asus ,439.99,,,,LGA1700,ATX,192,4,Black / Copper
Asus PRIME B650-PLUS,Asus ,164.99,,,,AM5,ATX,192,4,Black / Silver
MSI A520M-A PRO,MSI ,69.99,,,,AM4,Micro ATX,64,2,Black
NZXT N7 Z790,NZXT ,296.99,,,,LGA1700,ATX,192,4,Black
ASRock B550M-HDV,ASRock ,74.98,,,,AM4,Micro ATX,64,2,Black
ASRock B550M PG RIPTIDE,ASRock ,102.98,,,,AM4,Micro ATX,128,4,
Asus ROG STRIX X670E-I GAMING WIFI,Asus ,424.99,,,,AM5,Mini ITX,96,2,Black / Silver
Asus ROG STRIX B760-A GAMING WIFI,Asus ,209.99,,,,LGA1700,ATX,192,4,Silver / Black
Gigabyte X670 GAMING X AX V2,Gigabyte ,209.99,,,,AM5,ATX,192,4,Black / Gray
Gigabyte A520M DS3H V2,Gigabyte ,89.2,,,,AM4,Micro ATX,128,4,Gray / Brown
Asus ROG STRIX Z790-H GAMING WIFI,Asus ,249.99,,,,LGA1700,ATX,192,4,Black
MSI Z790 GAMING PLUS WIFI,MSI ,199.99,,,,LGA1700,ATX,192,4,Black
ASRock Z690 Pro RS,ASRock ,119.99,,,,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX Z790-F GAMING WIFI II,Asus ,409.99,,,,LGA1700,ATX,192,4,Black
MSI MEG X670E GODLIKE,MSI ,1287.01,,,,AM5,EATX,192,4,Black
Gigabyte TRX40 AORUS PRO WIFI,Gigabyte ,529.99,,,,sTRX4,ATX,256,8,Black / Orange
Asus TUF GAMING B550M-PLUS WIFI II,Asus ,202.34,,,,AM4,Micro ATX,128,4,Black / Gray
MSI PRO Z790-S WIFI,MSI ,169.99,,,,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-A GAMING WIFI,Asus ,334.99,,,,AM5,ATX,192,4,Silver / Black
ASRock H370M-HDV,ASRock ,74.95,,,,LGA1151,Micro ATX,64,2,Black / Silver
ASRock B550 Phantom Gaming-ITX/ax,ASRock ,159.99,,,,AM4,Mini ITX,64,2,Silver / Black
Asus PRIME B660M-A WIFI D4,Asus ,171.27,,,,LGA1700,Micro ATX,128,4,Silver / Black
MSI MAG B760M MORTAR WIFI II,MSI ,179.99,,,,LGA1700,Micro ATX,192,4,Silver / Black
Asus ROG STRIX Z790-A GAMING WIFI D4,Asus ,219.99,,,,LGA1700,ATX,128,4,Black / Silver
MSI MAG B650M MORTAR WIFI,MSI ,199.95,,,,AM5,Micro ATX,192,4,Black
MSI MPG Z790I EDGE WIFI,MSI ,297.83,,,,LGA1700,Mini ITX,96,2,Silver / Black
MSI PRO B550-VC,MSI ,139.99,,,,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS ELITE AX ICE,Gigabyte ,259.99,,,,LGA1700,ATX,192,4,Silver / White
Asus PRIME B550-PLUS,Asus ,109.99,,,,AM4,ATX,128,4,Black / White
ASRock B760M Pro RS/D4 WiFi,ASRock ,148.99,,,,LGA1700,Micro ATX,128,4,Silver / Black
ASRock X670E PG Lightning,ASRock ,238.76,,,,AM5,ATX,192,4,Black
Gigabyte A520M S2H,Gigabyte ,80.48,,,,AM4,Micro ATX,64,2,Black
ASRock B550 Phantom Gaming 4,ASRock ,89.99,,,,AM4,ATX,128,4,Silver / Black
MSI MAG Z790 TOMAHAWK MAX WIFI,MSI ,269.99,,,,LGA1700,ATX,192,4,Black / Yellow
MSI PRO-H610M-E-DDR4,MSI ,91.11,,,,LGA1700,Micro ATX,64,2,Black
Gigabyte H510M K V2,Gigabyte ,84.73,,,,LGA1200,Micro ATX,64,2,Black / Gray
Asus PRIME Z790-A WIFI,Asus ,249,,,,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A320M-K,Asus ,68.98,,,,AM4,Micro ATX,32,2,Black / White
Asus ROG STRIX B450-F GAMING II,Asus ,,,,,AM4,ATX,128,4,Black
MSI MPG X670E CARBON WIFI,MSI ,409.99,,,,AM5,ATX,192,4,Black
MSI B760M GAMING PLUS WIFI,MSI ,,,,,LGA1700,Micro ATX,192,4,Black / Silver
ASRock B650M PG Lightning Wifi,ASRock ,,,,,AM5,Micro ATX,192,4,Silver / Black
Intel DQ45EK,Intel ,276.09,,,,LGA775,Mini ITX,4,2,Green / Blue
