id,name,manufacturer,msrp,fps_1080p_medium,fps_1080p_ultra,fps_1440p_ultra,fps_4k_ultra,gpu_chip_model,cuda_cores,boost_clock,memory,memory_bandwidth,power_consumption
31,GeForce RTX 3080 Ti,GeForce,,0.86483,0.762996,0.627102,0.485007,GA102,10240,1665, 12GB GDDR6X@19Gbps,912,350
32,Radeon RX 6800 XT,Radeon,,0.871725,0.755404,0.597996,0.408342,Navi 21,4608,2250, 16GB GDDR6@16Gbps,512,300
33,GeForce RTX 3080 12GB,GeForce,,0.852025,0.751608,0.6174,0.470481,GA102,8960,1845, 12GB GDDR6X@19Gbps,912,400
34,GeForce RTX 3080,GeForce,,0.84316,0.72124,0.58212,0.436587,GA102,8704,1710, 10GB GDDR6X@19Gbps,760,320
35,Radeon RX 7700 XT,Radeon,,0.863845,0.714597,0.559188,0.36315,Navi 32,3456,2544, 12GB GDDR6@18Gbps,432,245
36,Radeon RX 6800,Radeon,,0.84907,0.706056,0.53802,0.357501,Navi 21,3840,2105, 16GB GDDR6@16Gbps,512,250
37,GeForce RTX 3070 Ti,GeForce,,0.80376,0.640575,0.500094,0.336519,GA104,6144,1770, 8GB GDDR6X@19Gbps,608,290
38,Radeon RX 6750 XT,Radeon,,0.81361,0.633932,0.466578,0.301818,Navi 22,2560,2600, 12GB GDDR6@18Gbps,432,250
39,GeForce RTX 4060 Ti 16GB,GeForce,,0.81361,0.619697,0.456876,0.293748,AD106,4352,2535, 16GB GDDR6@18Gbps,288,160
40,GeForce RTX 4060 Ti,GeForce,,0.80573,0.617799,0.455994,0.279222,AD106,4352,2535, 8GB GDDR6@18Gbps,288,160
41,Titan RTX,Titan,,0.788,0.612105,0.479808,0.337326,TU102,4608,1770, 24GB GDDR6@14Gbps,672,280
42,Radeon RX 6700 XT,Radeon,,0.79588,0.610207,0.443646,0.284871,Navi 22,2560,2581, 12GB GDDR6@16Gbps,384,230
43,GeForce RTX 3070,GeForce,,0.779135,0.608309,0.469224,0.313116,GA104,5888,1725, 8GB GDDR6@14Gbps,448,220
44,GeForce RTX 2080 Ti,GeForce,,0.76042,0.593125,0.456876,0.30666,TU102,4352,1545, 11GB GDDR6@14Gbps,616,250
45,GeForce RTX 3060 Ti,GeForce,,0.73875,0.558961,0.422478,0,GA104,4864,1665, 8GB GDDR6@14Gbps,448,200
46,Radeon RX 6700 10GB,Radeon,,0.73284,0.530491,0.37926,0.231609,Navi 22,2304,2450, 10GB GDDR6@16Gbps,320,175
47,GeForce RTX 2080 Super,GeForce,,0.71117,0.529542,0.398664,0.259047,TU104,3072,1815, 8GB GDDR6@15.5Gbps,496,250
48,GeForce RTX 2080,GeForce,,0.68753,0.507715,0.381024,0,TU104,2944,1710, 8GB GDDR6@14Gbps,448,215
49,Radeon RX 6650 XT,Radeon,,0.6895,0.478296,0.328986,0,Navi 23,2048,2635, 8GB GDDR6@18Gbps,280,180
50,GeForce RTX 2070 Super,GeForce,,0.65207,0.477347,0.3528,0,TU104,2560,1770, 8GB GDDR6@14Gbps,448,215
51,Intel Arc A770 8GB,Intel,,0.58115,0.464061,0.346626,0.23403,ACM-G10,4096,2400, 8GB GDDR6@16Gbps,512,225
52,Radeon RX 6600 XT,Radeon,,0.67177,0.460265,0.314874,0,Navi 23,2048,2589, 8GB GDDR6@16Gbps,256,160
