name,manufacturer,series,msrp,core_count,core_speed,boost_speed,tdp,socket,photo
Intel Core i9-10850KA Avengers Limited Edition,Intel ,Core i9,,10,3.6,5.2,125,,
Intel Core i9-10900,Intel ,Core i9,275.7,10,2.8,5.2,65,,
Intel Core i9-10900F,Intel ,Core i9,259.99,10,2.8,5.2,65,,
Intel Core i9-10900K,Intel ,Core i9,450,10,3.7,5.3,125,,
Intel Core i9-10900KF,Intel ,Core i9,255,10,3.7,5.3,125,,
Intel Core i9-10900X,Intel ,Core i9,615,10,3.7,4.7,165,,
Intel Core i9-10920X,Intel ,Core i9,799,12,3.5,4.8,165,,
Intel Core i9-10940X,Intel ,Core i9,780,14,3.3,4.8,165,,
Intel Core i9-10980XE,Intel ,Core i9,1200,18,3,4.8,165,,
Intel Core i9-11900,Intel ,Core i9,269.99,8,2.5,5.2,65,,
Intel Core i9-11900F,Intel ,Core i9,210,8,2.5,5.2,65,,
Intel Core i9-11900K,Intel ,Core i9,257.99,8,3.5,5.3,125,,
Intel Core i9-11900KF,Intel ,Core i9,232,8,3.5,5.3,125,,
Intel Core i9-12900,Intel ,Core i9,458,16,2.4,5.1,65,,
Intel Core i9-12900F,Intel ,Core i9,432.99,16,2.4,5.1,65,,
Intel Core i9-12900K,Intel ,Core i9,334,16,3.2,5.2,125,,
Intel Core i9-12900KF,Intel ,Core i9,339.55,16,3.2,5.2,125,,
Intel Core i9-12900KS,Intel ,Core i9,369,16,3.4,5.5,150,,
Intel Core i9-13900,Intel ,Core i9,490,24,2,5.6,65,,
Intel Core i9-13900F,Intel ,Core i9,549.99,24,2,5.6,65,,
Intel Core i9-13900K,Intel ,Core i9,486.59,24,3,5.8,125,,
Intel Core i9-13900KF,Intel ,Core i9,488.84,24,3,5.8,125,,
Intel Core i9-13900KS,Intel ,Core i9,589.99,24,3,6,150,,
Intel Core i9-13900T,Intel ,Core i9,,24,1.1,5.3,35,,
Intel Core i9-14900,Intel ,Core i9,554.99,24,2,5.8,65,,
Intel Core i9-14900F,Intel ,Core i9,528.99,24,2,5.8,65,,
Intel Core i9-14900K,Intel ,Core i9,544.99,24,3.2,6,125,,
Intel Core i9-14900KF,Intel ,Core i9,509.14,24,3.2,6,125,,
Intel Core i9-14900KS,Intel ,Core i9,652.95,24,3.2,6.2,150,,
